District,District Code,No,Yes,Total
Stamford Charter School for Excellence District,2960013,273,0,273
Stamford School District,1350011,13831,2100,15931
Sterling School District,1360011,387,0,387
Stonington School District,1370011,2082,15,2097
Stratford School District,1380011,6482,358,6840
Suffield School District,1390011,2197,21,2218
The Bridge Academy District,2690013,271,8,279
The Gilbert School District,9020022,548,13,561
The Woodstock Academy District,9030022,1087,0,1087
Thomaston School District,1400011,864,13,877
Thompson School District,1410011,*,*,1020
Tolland School District,1420011,2456,11,2467
Torrington School District,1430011,3719,389,4108
Trailblazers Academy District,2780013,*,*,119
Trumbull School District,1440011,6598,142,6740
Unified School District #1,3360015,179,0,179
Unified School District #2,3470015,157,0,157
Union School District,1450011,*,0,*
Vernon School District,1460011,3020,88,3108
Voluntown School District,1470011,282,0,282
Wallingford School District,1480011,5537,326,5863
Waterbury School District,1510011,16393,2614,19007
Waterford School District,1520011,2498,37,2535
Watertown School District,1530011,2709,76,2785
West Hartford School District,1550011,9169,569,9738
West Haven School District,1560011,5072,789,5861
Westbrook School District,1540011,662,69,731
Weston School District,1570011,2323,20,2343
Westport School District,1580011,5537,61,5598
Wethersfield School District,1590011,3307,302,3609
Willington School District,1600011,*,*,440
Wilton School District,1610011,4025,25,4050
Winchester School District,1620011,516,38,554
Windham School District,1630011,2474,875,3349
Windsor Locks School District,1650011,1484,69,1553
Windsor School District,1640011,3162,112,3274
Wolcott School District,1660011,2211,52,2263
Woodbridge School District,1670011,820,16,836
Woodstock School District,1690011,*,*,857
Total,,496657,38368,535025
