District Name,District Code,Category,Student Group,ELACount,ELAPerformanceIndex,MathCount,MathPerformanceIndex,ScienceCount,SciencePerformanceIndex
Ansonia School District,0020011,Grade,7,167,54.6,167,50.3,N/A,N/A
Ansonia School District,0020011,Grade,8,183,58.3,184,54,N/A,N/A
Ansonia School District,0020011,Grade,11,143,53.2,143,48.2,N/A,N/A
Ansonia School District,0020011,"High Needs (F/R, EL or SWD)",High Needs,889,56.7,890,52.8,N/A,N/A
Ansonia School District,0020011,"High Needs (F/R, EL or SWD)",Not High Needs,280,68.7,280,63.5,N/A,N/A
Ansonia School District,0020011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,824,57.4,824,53.5,N/A,N/A
Ansonia School District,0020011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,345,64.8,346,59.9,N/A,N/A
Ansonia School District,0020011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
Ansonia School District,0020011,Race/Ethnicity,Asian,26,65.3,26,63.9,N/A,N/A
Ansonia School District,0020011,Race/Ethnicity,Black or African American,203,54.5,204,49.5,N/A,N/A
Ansonia School District,0020011,Race/Ethnicity,Hispanic or Latino,436,58.4,436,54.3,N/A,N/A
Ansonia School District,0020011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
Ansonia School District,0020011,Race/Ethnicity,Two or More Races,53,61.6,53,60.1,N/A,N/A
Ansonia School District,0020011,Race/Ethnicity,White,445,62.5,445,58,N/A,N/A
Ansonia School District,0020011,Special Education Status (SWD),Students with Disabilities,220,41.3,222,39,N/A,N/A
Ansonia School District,0020011,Special Education Status (SWD),Students without Disabilities,949,63.8,948,59.2,N/A,N/A
Ashford School District,0030011,All Students,District,228,72.1,227,63.6,N/A,N/A
Ashford School District,0030011,English Language Learners (EL),English Learners,*,*,*,*,N/A,N/A
Ashford School District,0030011,English Language Learners (EL),Not English Learners,224,72.1,223,63.5,N/A,N/A
Ashford School District,0030011,Gender,Female,117,77.1,117,63.8,N/A,N/A
Ashford School District,0030011,Gender,Male,111,66.8,110,63.3,N/A,N/A
Ashford School District,0030011,Grade,3,35,67.6,35,66.6,N/A,N/A
Ashford School District,0030011,Grade,4,42,74,42,64.8,N/A,N/A
Ashford School District,0030011,Grade,5,30,71.5,30,61.9,N/A,N/A
Ashford School District,0030011,Grade,6,39,72.8,38,62.1,N/A,N/A
Ashford School District,0030011,Grade,7,41,80.2,41,67.3,N/A,N/A
Ashford School District,0030011,Grade,8,41,65.5,41,58.5,N/A,N/A
Ashford School District,0030011,"High Needs (F/R, EL or SWD)",High Needs,112,64.4,111,56.7,N/A,N/A
Ashford School District,0030011,"High Needs (F/R, EL or SWD)",Not High Needs,116,79.5,116,70.2,N/A,N/A
Ashford School District,0030011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,97,66.2,97,57.9,N/A,N/A
Ashford School District,0030011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,131,76.4,130,67.8,N/A,N/A
Ashford School District,0030011,Race/Ethnicity,Asian,*,*,*,*,N/A,N/A
Ashford School District,0030011,Race/Ethnicity,Black or African American,7,*,7,*,N/A,N/A
Ashford School District,0030011,Race/Ethnicity,Hispanic or Latino,19,*,19,*,N/A,N/A
Ashford School District,0030011,Race/Ethnicity,Two or More Races,7,*,7,*,N/A,N/A
Ashford School District,0030011,Race/Ethnicity,White,193,72.3,192,64.1,N/A,N/A
Ashford School District,0030011,Special Education Status (SWD),Students with Disabilities,35,46.3,34,41,N/A,N/A
Ashford School District,0030011,Special Education Status (SWD),Students without Disabilities,193,76.7,193,67.5,N/A,N/A
Avon School District,0040011,All Students,District,1721,81.2,1721,77.6,N/A,N/A
Avon School District,0040011,English Language Learners (EL),English Learners,97,73.9,97,72.8,N/A,N/A
Avon School District,0040011,English Language Learners (EL),Not English Learners,1624,81.6,1624,77.9,N/A,N/A
Avon School District,0040011,Gender,Female,873,82.3,873,76.4,N/A,N/A
Avon School District,0040011,Gender,Male,848,80,848,78.8,N/A,N/A
Avon School District,0040011,Grade,3,248,81.4,248,76.1,N/A,N/A
Avon School District,0040011,Grade,4,225,83.1,225,79,N/A,N/A
Avon School District,0040011,Grade,5,262,80.4,262,75,N/A,N/A
Avon School District,0040011,Grade,6,223,85.2,223,79.5,N/A,N/A
Avon School District,0040011,Grade,7,273,81.1,273,77.6,N/A,N/A
Avon School District,0040011,Grade,8,273,82.8,273,83,N/A,N/A
Avon School District,0040011,Grade,11,217,73.8,217,72.4,N/A,N/A
Avon School District,0040011,"High Needs (F/R, EL or SWD)",High Needs,334,65,334,59.7,N/A,N/A
Avon School District,0040011,"High Needs (F/R, EL or SWD)",Not High Needs,1387,85.1,1387,81.9,N/A,N/A
Avon School District,0040011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,137,65.8,137,58,N/A,N/A
Avon School District,0040011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,1584,82.5,1584,79.3,N/A,N/A
Avon School District,0040011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
Avon School District,0040011,Race/Ethnicity,Asian,305,87.8,305,90,N/A,N/A
Avon School District,0040011,Race/Ethnicity,Black or African American,80,66.2,80,57.8,N/A,N/A
Avon School District,0040011,Race/Ethnicity,Hispanic or Latino,116,74,116,66,N/A,N/A
Avon School District,0040011,Race/Ethnicity,Two or More Races,64,85.2,64,81.4,N/A,N/A
Avon School District,0040011,Race/Ethnicity,White,1152,80.9,1152,76.7,N/A,N/A
Avon School District,0040011,Special Education Status (SWD),Students with Disabilities,156,54.7,156,47.9,N/A,N/A
Avon School District,0040011,Special Education Status (SWD),Students without Disabilities,1565,83.8,1565,80.6,N/A,N/A
Barkhamsted School District,0050011,All Students,District,140,73.9,139,63.6,N/A,N/A
Barkhamsted School District,0050011,English Language Learners (EL),English Learners,*,*,*,*,N/A,N/A
Barkhamsted School District,0050011,English Language Learners (EL),Not English Learners,139,73.8,138,63.6,N/A,N/A
Barkhamsted School District,0050011,Gender,Female,66,77.6,66,65.3,N/A,N/A
Barkhamsted School District,0050011,Gender,Male,74,70.6,73,62.1,N/A,N/A
Barkhamsted School District,0050011,Grade,3,28,72.9,28,68.2,N/A,N/A
Barkhamsted School District,0050011,Grade,4,32,75,32,68.9,N/A,N/A
Barkhamsted School District,0050011,Grade,5,37,73.9,37,58.2,N/A,N/A
Barkhamsted School District,0050011,Grade,6,43,73.7,42,61.3,N/A,N/A
Barkhamsted School District,0050011,"High Needs (F/R, EL or SWD)",High Needs,52,65.6,51,54.3,N/A,N/A
Barkhamsted School District,0050011,"High Needs (F/R, EL or SWD)",Not High Needs,88,78.9,88,69,N/A,N/A
Barkhamsted School District,0050011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,29,67.2,29,57.3,N/A,N/A
Barkhamsted School District,0050011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,111,75.7,110,65.3,N/A,N/A
Barkhamsted School District,0050011,Race/Ethnicity,Hispanic or Latino,*,*,*,*,N/A,N/A
Barkhamsted School District,0050011,Race/Ethnicity,Two or More Races,*,*,*,*,N/A,N/A
Barkhamsted School District,0050011,Race/Ethnicity,White,136,73.7,135,63.3,N/A,N/A
Barkhamsted School District,0050011,Special Education Status (SWD),Students with Disabilities,34,62.4,33,49.5,N/A,N/A
Barkhamsted School District,0050011,Special Education Status (SWD),Students without Disabilities,106,77.6,106,68,N/A,N/A
Berlin School District,0070011,All Students,District,1465,72.7,1464,69.3,N/A,N/A
Berlin School District,0070011,English Language Learners (EL),English Learners,76,63.9,75,62.5,N/A,N/A
Berlin School District,0070011,English Language Learners (EL),Not English Learners,1389,73.2,1389,69.6,N/A,N/A
Berlin School District,0070011,Gender,Female,702,75.1,701,69.2,N/A,N/A
Berlin School District,0070011,Gender,Male,763,70.5,763,69.3,N/A,N/A
Berlin School District,0070011,Grade,3,186,74,186,73.3,N/A,N/A
Berlin School District,0070011,Grade,4,181,75.8,181,72.8,N/A,N/A
Berlin School District,0070011,Grade,5,213,75.6,213,73.9,N/A,N/A
Berlin School District,0070011,Grade,6,191,72.9,191,64.9,N/A,N/A
Berlin School District,0070011,Grade,7,248,75.1,247,72.7,N/A,N/A
Berlin School District,0070011,Grade,8,217,72.4,217,66,N/A,N/A
Berlin School District,0070011,Grade,11,229,63.9,229,61.9,N/A,N/A
Berlin School District,0070011,"High Needs (F/R, EL or SWD)",High Needs,410,60.6,409,54.9,N/A,N/A
Berlin School District,0070011,"High Needs (F/R, EL or SWD)",Not High Needs,1055,77.4,1055,74.8,N/A,N/A
Berlin School District,0070011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,247,63.2,246,56.8,N/A,N/A
Berlin School District,0070011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,1218,74.6,1218,71.8,N/A,N/A
Berlin School District,0070011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
Berlin School District,0070011,Race/Ethnicity,Asian,45,80,45,81.5,N/A,N/A
Berlin School District,0070011,Race/Ethnicity,Black or African American,23,58.8,23,56.2,N/A,N/A
Berlin School District,0070011,Race/Ethnicity,Hispanic or Latino,154,61.8,154,55.5,N/A,N/A
Berlin School District,0070011,Race/Ethnicity,Two or More Races,41,79.1,41,76.6,N/A,N/A
Berlin School District,0070011,Race/Ethnicity,White,1201,73.8,1200,70.6,N/A,N/A
Berlin School District,0070011,Special Education Status (SWD),Students with Disabilities,196,50.2,196,43.3,N/A,N/A
Berlin School District,0070011,Special Education Status (SWD),Students without Disabilities,1269,76.2,1268,73.3,N/A,N/A
Bethany School District,0080011,All Students,District,207,76.5,207,71.3,N/A,N/A
Bethany School District,0080011,English Language Learners (EL),English Learners,*,*,*,*,N/A,N/A
Bethany School District,0080011,English Language Learners (EL),Not English Learners,202,76.8,202,71.6,N/A,N/A
Bethany School District,0080011,Gender,Female,101,79.4,101,71.8,N/A,N/A
Bethany School District,0080011,Gender,Male,106,73.7,106,70.9,N/A,N/A
Bethany School District,0080011,Grade,3,40,73.3,40,64,N/A,N/A
Bethany School District,0080011,Grade,4,52,79.8,52,74.3,N/A,N/A
Bethany School District,0080011,Grade,5,60,73.7,60,73.1,N/A,N/A
Bethany School District,0080011,Grade,6,55,78.8,55,71.9,N/A,N/A
Bethany School District,0080011,"High Needs (F/R, EL or SWD)",High Needs,59,62.6,59,55.7,N/A,N/A
Bethany School District,0080011,"High Needs (F/R, EL or SWD)",Not High Needs,148,82,148,77.6,N/A,N/A
Bethany School District,0080011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,34,65.9,34,54.9,N/A,N/A
Bethany School District,0080011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,173,78.6,173,74.6,N/A,N/A
Bethany School District,0080011,Race/Ethnicity,Asian,19,*,19,*,N/A,N/A
Bethany School District,0080011,Race/Ethnicity,Black or African American,*,*,*,*,N/A,N/A
Bethany School District,0080011,Race/Ethnicity,Hispanic or Latino,14,*,14,*,N/A,N/A
Bethany School District,0080011,Race/Ethnicity,Two or More Races,*,*,*,*,N/A,N/A
Bethany School District,0080011,Race/Ethnicity,White,166,76.6,166,71.4,N/A,N/A
Bethany School District,0080011,Special Education Status (SWD),Students with Disabilities,33,55.4,33,50,N/A,N/A
Bethany School District,0080011,Special Education Status (SWD),Students without Disabilities,174,80.5,174,75.4,N/A,N/A
Bethel School District,0090011,All Students,District,1588,74.2,1588,69.8,N/A,N/A
Bethel School District,0090011,English Language Learners (EL),English Learners,139,64.3,139,60.8,N/A,N/A
Bethel School District,0090011,English Language Learners (EL),Not English Learners,1449,75.1,1449,70.6,N/A,N/A
Bethel School District,0090011,Gender,Female,760,77.4,761,69.7,N/A,N/A
Bethel School District,0090011,Gender,Male,828,71.1,827,69.9,N/A,N/A
Bethel School District,0090011,Grade,3,214,79,214,70.8,N/A,N/A
Bethel School District,0090011,Grade,4,246,76.9,246,74.4,N/A,N/A
Bethel School District,0090011,Grade,5,262,76.4,262,72.5,N/A,N/A
Bethel School District,0090011,Grade,6,222,76.3,222,70.9,N/A,N/A
Bethel School District,0090011,Grade,7,227,72.7,226,68.3,N/A,N/A
Bethel School District,0090011,Grade,8,189,76.3,190,73.1,N/A,N/A
Bethel School District,0090011,Grade,11,228,61.6,228,58.4,N/A,N/A
Bethel School District,0090011,"High Needs (F/R, EL or SWD)",High Needs,582,64.6,582,60.2,N/A,N/A
Bethel School District,0090011,"High Needs (F/R, EL or SWD)",Not High Needs,1006,79.7,1006,75.3,N/A,N/A
Bethel School District,0090011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,431,66.4,431,61.8,N/A,N/A
Bethel School District,0090011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,1157,77.1,1157,72.8,N/A,N/A
Bethel School District,0090011,Race/Ethnicity,American Indian or Alaska Native,7,*,7,*,N/A,N/A
Bethel School District,0090011,Race/Ethnicity,Asian,104,81.3,104,79,N/A,N/A
Bethel School District,0090011,Race/Ethnicity,Black or African American,40,68.5,40,61.2,N/A,N/A
Bethel School District,0090011,Race/Ethnicity,Hispanic or Latino,285,67,285,62.6,N/A,N/A
Bethel School District,0090011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
Bethel School District,0090011,Race/Ethnicity,Two or More Races,36,76.5,36,74.5,N/A,N/A
Bethel School District,0090011,Race/Ethnicity,White,1114,75.4,1114,70.9,N/A,N/A
Bethel School District,0090011,Special Education Status (SWD),Students with Disabilities,180,53.8,180,49,N/A,N/A
Bethel School District,0090011,Special Education Status (SWD),Students without Disabilities,1408,76.8,1408,72.4,N/A,N/A
Bloomfield School District,0110011,All Students,District,909,60.5,907,55.2,N/A,N/A
Bloomfield School District,0110011,English Language Learners (EL),English Learners,26,59,26,54.3,N/A,N/A
Bloomfield School District,0110011,English Language Learners (EL),Not English Learners,883,60.6,881,55.3,N/A,N/A
Bloomfield School District,0110011,Gender,Female,442,63.1,441,55.8,N/A,N/A
Bloomfield School District,0110011,Gender,Male,467,58.1,466,54.7,N/A,N/A
Bloomfield School District,0110011,Grade,3,118,67.9,118,60.8,N/A,N/A
Bloomfield School District,0110011,Grade,4,103,59.7,102,57.4,N/A,N/A
Bloomfield School District,0110011,Grade,5,140,60.4,140,58.8,N/A,N/A
Bloomfield School District,0110011,Grade,6,126,60.5,126,56.5,N/A,N/A
Bloomfield School District,0110011,Grade,7,143,63.1,142,56,N/A,N/A
Bloomfield School District,0110011,Grade,8,132,59,132,50.3,N/A,N/A
Bloomfield School District,0110011,Grade,11,147,54.4,147,48.6,N/A,N/A
Bloomfield School District,0110011,"High Needs (F/R, EL or SWD)",High Needs,540,56.2,538,50.9,N/A,N/A
Bloomfield School District,0110011,"High Needs (F/R, EL or SWD)",Not High Needs,369,66.9,369,61.5,N/A,N/A
Bloomfield School District,0110011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,459,57.2,457,51.9,N/A,N/A
Bloomfield School District,0110011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,450,63.9,450,58.6,N/A,N/A
Bloomfield School District,0110011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
Bloomfield School District,0110011,Race/Ethnicity,Asian,7,*,7,*,N/A,N/A
Bloomfield School District,0110011,Race/Ethnicity,Black or African American,710,60.1,708,54.8,N/A,N/A
Bloomfield School District,0110011,Race/Ethnicity,Hispanic or Latino,99,60.1,99,54.9,N/A,N/A
Bloomfield School District,0110011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A
Bloomfield School District,0110011,Race/Ethnicity,Two or More Races,37,59.9,37,55.2,N/A,N/A
Bloomfield School District,0110011,Race/Ethnicity,White,51,67.4,51,60,N/A,N/A
Bloomfield School District,0110011,Special Education Status (SWD),Students with Disabilities,177,43.9,175,40.2,N/A,N/A
Bloomfield School District,0110011,Special Education Status (SWD),Students without Disabilities,732,64.6,732,58.8,N/A,N/A
Bolton School District,0120011,All Students,District,422,75.5,422,72.2,N/A,N/A
Bolton School District,0120011,English Language Learners (EL),English Learners,9,*,9,*,N/A,N/A
Bolton School District,0120011,English Language Learners (EL),Not English Learners,413,75.6,413,72.3,N/A,N/A
Bolton School District,0120011,Gender,Female,220,77.2,220,71.5,N/A,N/A
Bolton School District,0120011,Gender,Male,202,73.6,202,73.1,N/A,N/A
Bolton School District,0120011,Grade,3,56,74.3,56,71,N/A,N/A
Bolton School District,0120011,Grade,4,57,76.1,57,74.9,N/A,N/A
Bolton School District,0120011,Grade,5,55,79.2,55,80.3,N/A,N/A
Bolton School District,0120011,Grade,6,62,81.5,62,75.4,N/A,N/A
Bolton School District,0120011,Grade,7,66,79,66,72.3,N/A,N/A
Bolton School District,0120011,Grade,8,61,78.1,61,74.7,N/A,N/A
Bolton School District,0120011,Grade,11,65,61,65,58.6,N/A,N/A
Bolton School District,0120011,"High Needs (F/R, EL or SWD)",High Needs,97,59.9,97,56.2,N/A,N/A
Bolton School District,0120011,"High Needs (F/R, EL or SWD)",Not High Needs,325,80.1,325,77,N/A,N/A
Bolton School District,0120011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,58,62.4,58,57.4,N/A,N/A
Bolton School District,0120011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,364,77.6,364,74.6,N/A,N/A
Bolton School District,0120011,Race/Ethnicity,Asian,11,*,11,*,N/A,N/A
Bolton School District,0120011,Race/Ethnicity,Black or African American,31,62.3,31,56.9,N/A,N/A
Bolton School District,0120011,Race/Ethnicity,Hispanic or Latino,29,60.7,29,56.7,N/A,N/A
Bolton School District,0120011,Race/Ethnicity,Two or More Races,13,*,13,*,N/A,N/A
Bolton School District,0120011,Race/Ethnicity,White,338,78.3,338,75,N/A,N/A
Bolton School District,0120011,Special Education Status (SWD),Students with Disabilities,41,48.8,41,46.6,N/A,N/A
Bolton School District,0120011,Special Education Status (SWD),Students without Disabilities,381,78.3,381,75,N/A,N/A
Bozrah School District,0130011,All Students,District,131,68.3,131,62.9,N/A,N/A
Bozrah School District,0130011,English Language Learners (EL),English Learners,*,*,*,*,N/A,N/A
Bozrah School District,0130011,English Language Learners (EL),Not English Learners,129,68.7,129,63.4,N/A,N/A
Bozrah School District,0130011,Gender,Female,62,70.6,62,62.2,N/A,N/A
Bozrah School District,0130011,Gender,Male,69,66.2,69,63.5,N/A,N/A
Bozrah School District,0130011,Grade,3,20,70.2,20,62.7,N/A,N/A
Bozrah School District,0130011,Grade,4,17,*,17,*,N/A,N/A
Bozrah School District,0130011,Grade,5,25,67.4,25,62.5,N/A,N/A
Bozrah School District,0130011,Grade,6,22,65.1,22,56.2,N/A,N/A
Bozrah School District,0130011,Grade,7,26,72,26,64.5,N/A,N/A
Bozrah School District,0130011,Grade,8,21,65.4,21,64.5,N/A,N/A
Bozrah School District,0130011,"High Needs (F/R, EL or SWD)",High Needs,43,59.7,43,52.2,N/A,N/A
Bozrah School District,0130011,"High Needs (F/R, EL or SWD)",Not High Needs,88,72.5,88,68.1,N/A,N/A
Bozrah School District,0130011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,31,63.7,31,53.7,N/A,N/A
Bozrah School District,0130011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,100,69.7,100,65.7,N/A,N/A
Bozrah School District,0130011,Race/Ethnicity,Black or African American,*,*,*,*,N/A,N/A
Bozrah School District,0130011,Race/Ethnicity,Hispanic or Latino,9,*,9,*,N/A,N/A
Bozrah School District,0130011,Race/Ethnicity,Two or More Races,14,*,14,*,N/A,N/A
Bozrah School District,0130011,Race/Ethnicity,White,106,69.4,106,64.8,N/A,N/A
Bozrah School District,0130011,Special Education Status (SWD),Students with Disabilities,18,*,18,*,N/A,N/A
Bozrah School District,0130011,Special Education Status (SWD),Students without Disabilities,113,71.7,113,65.8,N/A,N/A
Branford School District,0140011,All Students,District,1474,67,1472,65.5,N/A,N/A
Branford School District,0140011,English Language Learners (EL),English Learners,101,60.7,101,62.4,N/A,N/A
Branford School District,0140011,English Language Learners (EL),Not English Learners,1373,67.5,1371,65.7,N/A,N/A
Branford School District,0140011,Gender,Female,706,68.8,704,64.8,N/A,N/A
Branford School District,0140011,Gender,Male,768,65.3,768,66.2,N/A,N/A
Branford School District,0140011,Grade,3,192,70.8,192,69.9,N/A,N/A
Branford School District,0140011,Grade,4,202,74,202,73.9,N/A,N/A
Branford School District,0140011,Grade,5,229,69.7,228,72.2,N/A,N/A
Branford School District,0140011,Grade,6,213,70.6,213,66,N/A,N/A
Branford School District,0140011,Grade,7,216,69,216,63.8,N/A,N/A
Branford School District,0140011,Grade,8,204,58.1,204,57.3,N/A,N/A
Branford School District,0140011,Grade,11,218,57.2,217,55.8,N/A,N/A
Branford School District,0140011,"High Needs (F/R, EL or SWD)",High Needs,615,57.9,613,56.6,N/A,N/A
Branford School District,0140011,"High Needs (F/R, EL or SWD)",Not High Needs,859,73.5,859,71.8,N/A,N/A
Branford School District,0140011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,490,59.9,490,58.3,N/A,N/A
Branford School District,0140011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,984,70.5,982,69.1,N/A,N/A
Branford School District,0140011,Race/Ethnicity,American Indian or Alaska Native,*,*,*,*,N/A,N/A
Branford School District,0140011,Race/Ethnicity,Asian,120,72.6,120,75.7,N/A,N/A
Branford School District,0140011,Race/Ethnicity,Black or African American,54,56.7,54,53.4,N/A,N/A
Branford School District,0140011,Race/Ethnicity,Hispanic or Latino,157,59.9,157,56.6,N/A,N/A
Branford School District,0140011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,N/A,N/A,N/A,N/A,N/A,N/A
Branford School District,0140011,Race/Ethnicity,Two or More Races,27,66.9,27,61.9,N/A,N/A
Branford School District,0140011,Race/Ethnicity,White,1112,67.9,1110,66.3,N/A,N/A
Branford School District,0140011,Special Education Status (SWD),Students with Disabilities,196,44.9,194,41.6,N/A,N/A
Branford School District,0140011,Special Education Status (SWD),Students without Disabilities,1278,70.4,1278,69.1,N/A,N/A
Bridgeport School District,0150011,All Students,District,9655,54.3,9630,46.1,N/A,N/A
Bridgeport School District,0150011,English Language Learners (EL),English Learners,1756,49,1754,42.4,N/A,N/A
Bridgeport School District,0150011,English Language Learners (EL),Not English Learners,7899,55.5,7876,46.9,N/A,N/A
Bridgeport School District,0150011,Gender,Female,4600,57.1,4590,47.2,N/A,N/A
Bridgeport School District,0150011,Gender,Male,5055,51.8,5040,45.1,N/A,N/A
Bridgeport School District,0150011,Grade,3,1649,56.6,1645,48.3,N/A,N/A
Bridgeport School District,0150011,Grade,4,1566,58.2,1563,50.7,N/A,N/A
Bridgeport School District,0150011,Grade,5,1527,54.8,1521,48.3,N/A,N/A
Bridgeport School District,0150011,Grade,6,1382,56.4,1378,45.3,N/A,N/A
Bridgeport School District,0150011,Grade,7,1314,54,1309,43.7,N/A,N/A
Bridgeport School District,0150011,Grade,8,1244,50.8,1242,41.2,N/A,N/A
Bridgeport School District,0150011,Grade,11,973,45,972,42.4,N/A,N/A
Bridgeport School District,0150011,"High Needs (F/R, EL or SWD)",High Needs,7999,52.2,7977,44.2,N/A,N/A
Bridgeport School District,0150011,"High Needs (F/R, EL or SWD)",Not High Needs,1656,64.4,1653,55.4,N/A,N/A
Bridgeport School District,0150011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,7426,52.6,7405,44.4,N/A,N/A
Bridgeport School District,0150011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,2229,60,2225,51.6,N/A,N/A
Bridgeport School District,0150011,Race/Ethnicity,American Indian or Alaska Native,55,63.2,55,53.3,N/A,N/A
Bridgeport School District,0150011,Race/Ethnicity,Asian,262,64.4,262,59.8,N/A,N/A
Bridgeport School District,0150011,Race/Ethnicity,Black or African American,3400,52.3,3390,43.2,N/A,N/A
Bridgeport School District,0150011,Race/Ethnicity,Hispanic or Latino,4879,53.4,4865,45.5,N/A,N/A
Bridgeport School District,0150011,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,12,*,12,*,N/A,N/A
Bridgeport School District,0150011,Race/Ethnicity,Two or More Races,75,58.3,75,49.8,N/A,N/A
Bridgeport School District,0150011,Race/Ethnicity,White,972,62,971,54.8,N/A,N/A
Bridgeport School District,0150011,Special Education Status (SWD),Students with Disabilities,1735,38.6,1726,31.9,N/A,N/A
Bridgeport School District,0150011,Special Education Status (SWD),Students without Disabilities,7920,57.7,7904,49.2,N/A,N/A
Bristol School District,0170011,All Students,District,4077,65.7,4064,59.9,N/A,N/A
